epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,26044.5,0.94855,0.73787,1.0491,0.74415,0.65189,0.71379,0.49975,1.1188,1.02639,1.15521,0.000180516,0.000180516,0.000180516
72,26420.3,0.9439,0.72899,1.04209,0.7365,0.6593,0.70412,0.49776,1.1226,1.03414,1.16877,0.000174695,0.000174695,0.000174695
73,26796.8,0.94548,0.72979,1.04766,0.77784,0.67252,0.72318,0.50972,1.11475,1.01773,1.16165,0.000168874,0.000168874,0.000168874
74,27178.3,0.9336,0.7223,1.04025,0.76178,0.65917,0.71372,0.51062,1.10488,0.99543,1.14961,0.000163052,0.000163052,0.000163052
75,27561.6,0.93771,0.72012,1.04253,0.73322,0.68681,0.7117,0.50344,1.11542,1.0068,1.1601,0.000157231,0.000157231,0.000157231
76,27942.2,0.93688,0.71995,1.04381,0.77915,0.67525,0.72243,0.51372,1.1111,1.01243,1.15268,0.00015141,0.00015141,0.00015141
77,28314.7,0.93413,0.71479,1.04023,0.75599,0.67672,0.72129,0.51158,1.10988,0.99699,1.15547,0.000145589,0.000145589,0.000145589
78,28685.2,0.93334,0.71723,1.03962,0.74217,0.67805,0.70972,0.50609,1.11251,1.02923,1.15478,0.000139768,0.000139768,0.000139768
79,29059.6,0.924,0.70366,1.03675,0.75435,0.69034,0.71683,0.50791,1.11903,1.01602,1.16441,0.000133946,0.000133946,0.000133946
80,29427.8,0.91838,0.70165,1.03199,0.6882,0.70383,0.70796,0.50736,1.11344,1.00856,1.16322,0.000128125,0.000128125,0.000128125
81,29793,0.91422,0.69591,1.02954,0.75812,0.68422,0.71399,0.51188,1.119,1.02085,1.16366,0.000122304,0.000122304,0.000122304
82,30158.3,0.91781,0.69825,1.03029,0.73784,0.68421,0.717,0.51178,1.11311,1.00251,1.16266,0.000116483,0.000116483,0.000116483
83,30524.3,0.91951,0.69439,1.02917,0.71283,0.68557,0.70117,0.50051,1.11286,1.01758,1.16027,0.000110662,0.000110662,0.000110662
84,30889.4,0.91019,0.68785,1.02925,0.73203,0.66357,0.71531,0.50929,1.12225,1.01171,1.1654,0.00010484,0.00010484,0.00010484
85,31254.4,0.90427,0.68452,1.02482,0.71508,0.68549,0.70855,0.50306,1.11202,1.00845,1.16092,9.90192e-05,9.90192e-05,9.90192e-05
86,31619.9,0.91441,0.68296,1.0268,0.77578,0.65381,0.71725,0.51413,1.11911,1.0247,1.16741,9.3198e-05,9.3198e-05,9.3198e-05
87,31987.1,0.904,0.67802,1.0269,0.75716,0.66359,0.71204,0.51095,1.11279,1.02214,1.16433,8.73768e-05,8.73768e-05,8.73768e-05
88,32353.2,0.90633,0.68295,1.02685,0.78398,0.65216,0.71547,0.50929,1.12095,1.02867,1.17237,8.15556e-05,8.15556e-05,8.15556e-05
89,32718.9,0.90749,0.67666,1.02549,0.71635,0.69573,0.7127,0.5063,1.12538,1.00471,1.17504,7.57344e-05,7.57344e-05,7.57344e-05
90,33082.6,0.90652,0.67424,1.0257,0.7206,0.69316,0.71228,0.51043,1.11501,1.01419,1.16445,6.99132e-05,6.99132e-05,6.99132e-05
